raw_theme,set_count,category,proposed_curated_theme,note,longtail_pct_ever_tracked,longtail_pct_recent_tracked,longtail_verdict,longtail_note
Pharaoh's Quest,9,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/9 (0.0%) ever tracked -- below 5% threshold
Pirates III,9,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/9 (0.0%) ever tracked -- below 5% threshold
Cargo,9,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/9 (0.0%) ever tracked -- below 5% threshold
Hobby Sets,9,EXCLUDE_MERCH_NONBUILDABLE,,no theme link at all -- not a real theme,,,,
Gears,9,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/9 (0.0%) ever tracked -- below 5% threshold
World Racers,9,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/9 (0.0%) ever tracked -- below 5% threshold
Time Cruisers,9,NEEDS_DECISION,,,,,,
X-Men,9,SUBTHEME_OF_CURATED,Marvel,"proposed mapping, needs sign-off",,,,
Aquaraiders II,9,NEEDS_DECISION,,,,,,
Avatar,9,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/9 (0.0%) ever tracked -- below 5% threshold
M:Tron,9,NEEDS_DECISION,,,,,,
Little Forest Friends,9,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/9 (0.0%) ever tracked -- below 5% threshold
Spyrius,8,NEEDS_DECISION,,,,,,
DC Comics,8,SUBTHEME_OF_CURATED,DC,"proposed mapping, needs sign-off",,,,
Aquanauts,8,NEEDS_DECISION,,,,,,
Discovery,8,NEEDS_DECISION,,,,,,
Control Lab,8,EXCLUDE_EDU_ROBOTICS,,no curated theme covers this; exclude or new 'Education' theme,,,,
Royal Knights,8,NEEDS_DECISION,,,,,,
Mission Deep Freeze,8,NEEDS_DECISION,,,,,,
The Lone Ranger,8,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/8 (0.0%) ever tracked -- below 5% threshold
Captain America,8,SUBTHEME_OF_CURATED,Marvel,"proposed mapping, needs sign-off",,,,
Brick Sketches,8,EXCLUDE_MERCH_NONBUILDABLE,,no theme link at all -- not a real theme,,,,
Wednesday,7,NEEDS_DECISION,,,42.9,42.9,CATCHALL_LICENSED_COLLABS,"3/7 (42.9%) ever tracked, 7 sets (<25) -- proposed fold into new catch-all theme"
Hydronauts,7,NEEDS_DECISION,,,,,,
Alpha Team,7,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/7 (0.0%) ever tracked -- below 5% threshold
Factory,7,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/7 (0.0%) ever tracked -- below 5% threshold
Jake and the Never Land Pirates,7,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/7 (0.0%) ever tracked -- below 5% threshold
Series 27 Minifigures,7,EXCLUDE_MINIFIG_SERIES,,"collectible minifig series -- own micro-category, not a theme",,,,
Jumbo Bricks,7,EXCLUDE_MERCH_NONBUILDABLE,,no theme link at all -- not a real theme,,,,
My Town,7,NEEDS_DECISION,,,,,,
Mosaic,7,EXCLUDE_MERCH_NONBUILDABLE,,no theme link at all -- not a real theme,,,,
Black Falcons,7,NEEDS_DECISION,,,,,,
Learning,7,EXCLUDE_MERCH_NONBUILDABLE,,no theme link at all -- not a real theme,,,,
Protectors,6,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/6 (0.0%) ever tracked -- below 5% threshold
Gas Station,6,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/6 (0.0%) ever tracked -- below 5% threshold
Soft Bricks,6,EXCLUDE_MERCH_NONBUILDABLE,,no theme link at all -- not a real theme,,,,
Angry Birds,6,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/6 (0.0%) ever tracked -- below 5% threshold
Ben 10,6,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/6 (0.0%) ever tracked -- below 5% threshold
Creator Expert,6,SUBTHEME_OF_CURATED,Creator,"proposed mapping, needs sign-off",,,,
Princess Castle,6,NEEDS_DECISION,,,,,,
UCS,6,SUBTHEME_OF_CURATED,Icons,"proposed mapping, needs sign-off",,,,
Blacktron I,6,NEEDS_DECISION,,,,,,
Iron Man,6,SUBTHEME_OF_CURATED,Marvel,"proposed mapping, needs sign-off",,,,
Dolls,6,EXCLUDE_MERCH_NONBUILDABLE,,no theme link at all -- not a real theme,,,,
Pirates,6,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/6 (0.0%) ever tracked -- below 5% threshold
Formula 1,6,NEEDS_DECISION,,,16.7,16.7,CATCHALL_LICENSED_COLLABS,"1/6 (16.7%) ever tracked, 6 sets (<25) -- proposed fold into new catch-all theme"
Inventor,6,EXCLUDE_EDU_ROBOTICS,,no curated theme covers this; exclude or new 'Education' theme,,,,
Prince of Persia,6,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/6 (0.0%) ever tracked -- below 5% threshold
Space Police I,6,NEEDS_DECISION,,,,,,
Space Police II,6,NEEDS_DECISION,,,,,,
eLAB,5,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/5 (0.0%) ever tracked -- below 5% threshold
Dora the Explorer,5,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/5 (0.0%) ever tracked -- below 5% threshold
Forestmen,5,NEEDS_DECISION,,,,,,
Fortnite,5,NEEDS_DECISION,,,80.0,80.0,CATCHALL_LICENSED_COLLABS,"4/5 (80.0%) ever tracked, 5 sets (<25) -- proposed fold into new catch-all theme"
Launch Command,5,NEEDS_DECISION,,,,,,
Despicable Me 4,5,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/5 (0.0%) ever tracked -- below 5% threshold
Nike,5,NEEDS_DECISION,,,80.0,80.0,CATCHALL_LICENSED_COLLABS,"4/5 (80.0%) ever tracked, 5 sets (<25) -- proposed fold into new catch-all theme"
Outback,5,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/5 (0.0%) ever tracked -- below 5% threshold
Speed Slammers,5,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/5 (0.0%) ever tracked -- below 5% threshold
Stingrays,5,NEEDS_DECISION,,,,,,
Advent,5,NEEDS_DECISION,,,,,,
Planes,4,SUBTHEME_OF_CURATED,Disney,"proposed mapping, needs sign-off",,,,
Unitron,4,NEEDS_DECISION,,,,,,
Fusion,4,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/4 (0.0%) ever tracked -- below 5% threshold
Sports,4,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/4 (0.0%) ever tracked -- below 5% threshold
DC Comics Super Heroes,4,SUBTHEME_OF_CURATED,DC,"proposed mapping, needs sign-off",,,,
Marvel Super Heroes,4,SUBTHEME_OF_CURATED,Marvel,"proposed mapping, needs sign-off",,,,
Learning at Home,4,EXCLUDE_MERCH_NONBUILDABLE,,no theme link at all -- not a real theme,,,,
Marvel Series 2,4,SUBTHEME_OF_CURATED,Marvel,"proposed mapping, needs sign-off",,,,
RoboForce,4,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/4 (0.0%) ever tracked -- below 5% threshold
Aquasharks,4,NEEDS_DECISION,,,,,,
Speed Racer,4,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/4 (0.0%) ever tracked -- below 5% threshold
Doc McStuffins,4,SUBTHEME_OF_CURATED,Disney,"proposed mapping, needs sign-off",,,,
Forma,4,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/4 (0.0%) ever tracked -- below 5% threshold
Series 25 Minifigures,3,EXCLUDE_MINIFIG_SERIES,,"collectible minifig series -- own micro-category, not a theme",,,,
Jurassic World: Fallen Kingdom,3,SUBTHEME_OF_CURATED,Jurassic World,"proposed mapping, needs sign-off",,,,
Series 19 Minifigures,3,EXCLUDE_MINIFIG_SERIES,,"collectible minifig series -- own micro-category, not a theme",,,,
Incredibles 2,3,SUBTHEME_OF_CURATED,Disney,"proposed mapping, needs sign-off",,,,
Shrek,3,NEEDS_DECISION,,,33.3,33.3,CATCHALL_LICENSED_COLLABS,"1/3 (33.3%) ever tracked, 3 sets (<25) -- proposed fold into new catch-all theme"
Series 22 Minifigures,3,EXCLUDE_MINIFIG_SERIES,,"collectible minifig series -- own micro-category, not a theme",,,,
Sculptures,3,EXCLUDE_MERCH_NONBUILDABLE,,no theme link at all -- not a real theme,,,,
Aquaraiders I,3,NEEDS_DECISION,,,,,,
Miles From Tomorrowland,3,SUBTHEME_OF_CURATED,Disney,"proposed mapping, needs sign-off",,,,
Zooters,3,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/3 (0.0%) ever tracked -- below 5% threshold
Dark Forest,3,NEEDS_DECISION,,,,,,
Lightyear,3,SUBTHEME_OF_CURATED,Disney,"proposed mapping, needs sign-off",,,,
Series 21 Minifigures,3,EXCLUDE_MINIFIG_SERIES,,"collectible minifig series -- own micro-category, not a theme",,,,
Series 26 Minifigures,3,EXCLUDE_MINIFIG_SERIES,,"collectible minifig series -- own micro-category, not a theme",,,,
Sofia the First,3,SUBTHEME_OF_CURATED,Disney,"proposed mapping, needs sign-off",,,,
Disney 100,3,SUBTHEME_OF_CURATED,Disney,"proposed mapping, needs sign-off",,,,
Series 11 Minifigures,2,EXCLUDE_MINIFIG_SERIES,,"collectible minifig series -- own micro-category, not a theme",,,,
Series 10 Minifigures,2,EXCLUDE_MINIFIG_SERIES,,"collectible minifig series -- own micro-category, not a theme",,,,
Series 1 Minifigures,2,EXCLUDE_MINIFIG_SERIES,,"collectible minifig series -- own micro-category, not a theme",,,,
Books,2,EXCLUDE_MERCH_NONBUILDABLE,,no theme link at all -- not a real theme,,,,
Marvel Series 1,2,SUBTHEME_OF_CURATED,Marvel,"proposed mapping, needs sign-off",,,,
Looney Tunes,2,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/2 (0.0%) ever tracked -- below 5% threshold
Dungeons & Dragons,2,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/2 (0.0%) ever tracked -- below 5% threshold
Universe,2,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/2 (0.0%) ever tracked -- below 5% threshold
DFB Minifigures,2,EXCLUDE_MINIFIG_SERIES,,"collectible minifig series -- own micro-category, not a theme",,,,
Jurassic Park III,2,SUBTHEME_OF_CURATED,Jurassic World,"proposed mapping, needs sign-off",,,,
Iron Man and His Awesome Friends,2,SUBTHEME_OF_CURATED,Marvel,"proposed mapping, needs sign-off",,,,
DC Super Heroes,2,SUBTHEME_OF_CURATED,DC,"proposed mapping, needs sign-off",,,,
Series 9 Minifigures,2,EXCLUDE_MINIFIG_SERIES,,"collectible minifig series -- own micro-category, not a theme",,,,
Spybotics,2,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/2 (0.0%) ever tracked -- below 5% threshold
Series 7 Minifigures,2,EXCLUDE_MINIFIG_SERIES,,"collectible minifig series -- own micro-category, not a theme",,,,
Series 6 Minifigures,2,EXCLUDE_MINIFIG_SERIES,,"collectible minifig series -- own micro-category, not a theme",,,,
Avatar: The Last Airbender,2,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/2 (0.0%) ever tracked -- below 5% threshold
Fantastic Beasts,2,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/2 (0.0%) ever tracked -- below 5% threshold
Series 5 Minifigures,2,EXCLUDE_MINIFIG_SERIES,,"collectible minifig series -- own micro-category, not a theme",,,,
Series 4 Minifigures,2,EXCLUDE_MINIFIG_SERIES,,"collectible minifig series -- own micro-category, not a theme",,,,
Stranger Things,2,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/2 (0.0%) ever tracked -- below 5% threshold
Series 24 Minifigures,2,EXCLUDE_MINIFIG_SERIES,,"collectible minifig series -- own micro-category, not a theme",,,,
Series 23 Minifigures,2,EXCLUDE_MINIFIG_SERIES,,"collectible minifig series -- own micro-category, not a theme",,,,
Team GB,2,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/2 (0.0%) ever tracked -- below 5% threshold
Series 20 Minifigures,2,EXCLUDE_MINIFIG_SERIES,,"collectible minifig series -- own micro-category, not a theme",,,,
Series 2 Minifigures,2,EXCLUDE_MINIFIG_SERIES,,"collectible minifig series -- own micro-category, not a theme",,,,
Series 18 Minifigures,2,EXCLUDE_MINIFIG_SERIES,,"collectible minifig series -- own micro-category, not a theme",,,,
The Legend of Zelda,2,NEEDS_DECISION,,,50.0,50.0,CATCHALL_LICENSED_COLLABS,"1/2 (50.0%) ever tracked, 2 sets (<25) -- proposed fold into new catch-all theme"
Series 17 Minifigures,2,EXCLUDE_MINIFIG_SERIES,,"collectible minifig series -- own micro-category, not a theme",,,,
The LEGO Batman Movie Series 1,2,SUBTHEME_OF_CURATED,DC,"proposed mapping, needs sign-off",,,,
The LEGO Batman Movie Series 2,2,SUBTHEME_OF_CURATED,DC,"proposed mapping, needs sign-off",,,,
Series 16 Minifigures,2,EXCLUDE_MINIFIG_SERIES,,"collectible minifig series -- own micro-category, not a theme",,,,
Series 15 Minifigures,2,EXCLUDE_MINIFIG_SERIES,,"collectible minifig series -- own micro-category, not a theme",,,,
Series 14 Minifigures,2,EXCLUDE_MINIFIG_SERIES,,"collectible minifig series -- own micro-category, not a theme",,,,
Series 13 Minifigures,2,EXCLUDE_MINIFIG_SERIES,,"collectible minifig series -- own micro-category, not a theme",,,,
The Muppets,2,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/2 (0.0%) ever tracked -- below 5% threshold
The Powerpuff Girls,2,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/2 (0.0%) ever tracked -- below 5% threshold
The Simpsons Series 1,2,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/2 (0.0%) ever tracked -- below 5% threshold
The Simpsons Series 2,2,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/2 (0.0%) ever tracked -- below 5% threshold
Series 12 Minifigures,2,EXCLUDE_MINIFIG_SERIES,,"collectible minifig series -- own micro-category, not a theme",,,,
Harry Potter and Fantastic Beasts Series 2,2,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/2 (0.0%) ever tracked -- below 5% threshold
Harry Potter and Fantastic Beasts Series 1,2,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/2 (0.0%) ever tracked -- below 5% threshold
Disney Series 1,2,SUBTHEME_OF_CURATED,Disney,"proposed mapping, needs sign-off",,,,
Wolfpack,2,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/2 (0.0%) ever tracked -- below 5% threshold
Ghostbusters,2,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/2 (0.0%) ever tracked -- below 5% threshold
Disney Series 2,2,SUBTHEME_OF_CURATED,Disney,"proposed mapping, needs sign-off",,,,
Series 3 Minifigures,1,EXCLUDE_MINIFIG_SERIES,,"collectible minifig series -- own micro-category, not a theme",,,,
Horizon Adventures,1,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/1 (0.0%) ever tracked -- below 5% threshold
Spider-Man - Across the Spider-Verse,1,SUBTHEME_OF_CURATED,Marvel,"proposed mapping, needs sign-off",,,,
Mini,1,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/1 (0.0%) ever tracked -- below 5% threshold
KPop Demon Hunters,1,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/1 (0.0%) ever tracked -- below 5% threshold
The Hobbit and Lord of the Rings,1,NEEDS_DECISION,,,0.0,0.0,EXCLUDE,0/1 (0.0%) ever tracked -- below 5% threshold
Aquazone,1,NEEDS_DECISION,,,,,,
